2020-12-07T22:31:25.851Z - POST RESPONSE - 200
2020-12-07T22:31:25.879Z /time - GET RESPONSE - 200
2020-12-07T22:31:25.882Z /users - GET RESPONSE - 200
2020-12-07T22:31:25.891Z /time - GET RESPONSE - 200
2020-12-07T22:31:25.897Z /users - GET RESPONSE - 200
2020-12-07T22:31:26.456Z /time - GET RESPONSE - 200
2020-12-07T22:31:26.456Z /users - GET RESPONSE - 200
2020-12-07T22:31:26.872Z /time - GET RESPONSE - 200
2020-12-07T22:31:26.880Z /users - GET RESPONSE - 200
2020-12-07T22:31:26.969Z /time - GET RESPONSE - 200
2020-12-07T22:31:26.971Z /users - GET RESPONSE - 200
2020-12-07T22:31:27.875Z /time - GET RESPONSE - 200
2020-12-07T22:31:27.878Z /users - GET RESPONSE - 200
2020-12-07T22:31:27.961Z /time - GET RESPONSE - 200
2020-12-07T22:31:27.961Z /users - GET RESPONSE - 200
2020-12-07T22:31:28.879Z /time - GET RESPONSE - 200
2020-12-07T22:31:28.885Z /users - GET RESPONSE - 200
2020-12-07T22:31:28.961Z /time - GET RESPONSE - 200
2020-12-07T22:31:28.961Z /users - GET RESPONSE - 200
2020-12-07T22:31:29.895Z /time - GET RESPONSE - 200
2020-12-07T22:31:29.896Z - POST RESPONSE - 200
2020-12-07T22:31:30.874Z /time - GET RESPONSE - 200
2020-12-07T22:31:30.874Z /users - GET RESPONSE - 200
2020-12-07T22:31:30.999Z /time - GET RESPONSE - 200
2020-12-07T22:31:31.000Z /users - GET RESPONSE - 200
2020-12-07T22:31:31.012Z /users - GET RESPONSE - 200
2020-12-07T22:31:31.874Z /time - GET RESPONSE - 200
2020-12-07T22:31:31.875Z /users - GET RESPONSE - 200
2020-12-07T22:31:31.885Z /users - GET RESPONSE - 200
2020-12-07T22:31:31.998Z /time - GET RESPONSE - 200
2020-12-07T22:31:31.998Z /users - GET RESPONSE - 200
2020-12-07T22:31:32.881Z /time - GET RESPONSE - 200
2020-12-07T22:31:32.883Z /users - GET RESPONSE - 200
2020-12-07T22:31:32.997Z /time - GET RESPONSE - 200
2020-12-07T22:31:32.999Z /users - GET RESPONSE - 200
2020-12-07T22:31:33.885Z /time - GET RESPONSE - 200
2020-12-07T22:31:33.887Z /users - GET RESPONSE - 200
2020-12-07T22:31:33.997Z /time - GET RESPONSE - 200
2020-12-07T22:31:33.997Z /users - GET RESPONSE - 200
2020-12-07T22:31:34.870Z /time - GET RESPONSE - 200
2020-12-07T22:31:34.875Z /users - GET RESPONSE - 200
2020-12-07T22:31:34.997Z /time - GET RESPONSE - 200
2020-12-07T22:31:34.997Z /users - GET RESPONSE - 200
2020-12-07T22:31:35.876Z /time - GET RESPONSE - 200
2020-12-07T22:31:35.888Z /users - GET RESPONSE - 200
2020-12-07T22:31:35.996Z /time - GET RESPONSE - 200
2020-12-07T22:31:35.997Z /users - GET RESPONSE - 200
2020-12-07T22:31:36.878Z /time - GET RESPONSE - 200
2020-12-07T22:31:36.886Z /users - GET RESPONSE - 200
2020-12-07T22:31:36.999Z /time - GET RESPONSE - 200
2020-12-07T22:31:37.000Z /users - GET RESPONSE - 200
2020-12-07T22:31:37.875Z /time - GET RESPONSE - 200
2020-12-07T22:31:37.882Z /users - GET RESPONSE - 200
2020-12-07T22:31:38.006Z /time - GET RESPONSE - 200
2020-12-07T22:31:38.007Z /users - GET RESPONSE - 200
2020-12-07T22:31:38.870Z /time - GET RESPONSE - 200
2020-12-07T22:31:38.872Z /users - GET RESPONSE - 200
2020-12-07T22:31:39.004Z /time - GET RESPONSE - 200
2020-12-07T22:31:39.005Z /users - GET RESPONSE - 200
2020-12-07T22:31:39.878Z /time - GET RESPONSE - 200
2020-12-07T22:31:39.883Z /users - GET RESPONSE - 200
2020-12-07T22:31:40.004Z /time - GET RESPONSE - 200
2020-12-07T22:31:40.005Z /users - GET RESPONSE - 200
2020-12-07T22:31:40.849Z HTTP POST http://localhost:3003/service
2020-12-07T22:31:40.854Z - POST RESPONSE - 200
2020-12-07T22:31:40.856Z /status - GET RESPONSE - 200
2020-12-07T22:31:40.879Z /time - GET RESPONSE - 200
2020-12-07T22:31:40.881Z /users - GET RESPONSE - 200
2020-12-07T22:31:41.003Z /time - GET RESPONSE - 200
2020-12-07T22:31:41.005Z /users - GET RESPONSE - 200
2020-12-07T22:31:41.882Z /time - GET RESPONSE - 200
2020-12-07T22:31:41.884Z /users - GET RESPONSE - 200
2020-12-07T22:31:42.006Z /time - GET RESPONSE - 200
2020-12-07T22:31:42.008Z /users - GET RESPONSE - 200
2020-12-07T22:31:42.877Z /time - GET RESPONSE - 200
2020-12-07T22:31:42.885Z /users - GET RESPONSE - 200
2020-12-07T22:31:42.997Z /time - GET RESPONSE - 200
2020-12-07T22:31:42.998Z /users - GET RESPONSE - 200
2020-12-07T22:31:43.882Z /time - GET RESPONSE - 200
2020-12-07T22:31:43.885Z /users - GET RESPONSE - 200
2020-12-07T22:31:44.004Z /time - GET RESPONSE - 200
2020-12-07T22:31:44.005Z /users - GET RESPONSE - 200
2020-12-07T22:31:44.878Z /time - GET RESPONSE - 200
2020-12-07T22:31:44.886Z /users - GET RESPONSE - 200
2020-12-07T22:31:45.007Z /time - GET RESPONSE - 200
2020-12-07T22:31:45.008Z /users - GET RESPONSE - 200
2020-12-07T22:31:45.878Z /time - GET RESPONSE - 200
2020-12-07T22:31:45.892Z /users - GET RESPONSE - 200
2020-12-07T22:31:46.003Z /time - GET RESPONSE - 200
2020-12-07T22:31:46.005Z /users - GET RESPONSE - 200
2020-12-07T22:31:46.881Z /time - GET RESPONSE - 200
2020-12-07T22:31:46.884Z /users - GET RESPONSE - 200
2020-12-07T22:31:47.004Z /time - GET RESPONSE - 200
2020-12-07T22:31:47.006Z /users - GET RESPONSE - 200
2020-12-07T22:31:47.877Z /time - GET RESPONSE - 200
2020-12-07T22:31:47.878Z /users - GET RESPONSE - 200
2020-12-07T22:31:48.004Z /time - GET RESPONSE - 200
2020-12-07T22:31:48.005Z /users - GET RESPONSE - 200
2020-12-07T22:31:48.880Z /time - GET RESPONSE - 200
2020-12-07T22:31:48.881Z /users - GET RESPONSE - 200
2020-12-07T22:31:49.003Z /time - GET RESPONSE - 200
2020-12-07T22:31:49.006Z /users - GET RESPONSE - 200
2020-12-07T22:31:49.880Z /time - GET RESPONSE - 200
2020-12-07T22:31:49.881Z /users - GET RESPONSE - 200
2020-12-07T22:31:49.999Z /time - GET RESPONSE - 200
2020-12-07T22:31:50.000Z /users - GET RESPONSE - 200
